mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,mzo,mzoscan,sn
339.4595783,339.4566289,339.4613592,32.389,29.239,33.949,1465.92381,1462.15581,723.456665,339.458618,73,722
374.9362032,374.9356192,374.9370387,192.277,182.347,197.936,8868.831805,7331.122309,848.9296265,374.9361635,276,8
479.891024,479.8884744,479.8916151,205.346,201.156,213.505,5263.946082,5249.269416,977.6447144,479.8906117,291,195
1011.47891,1011.47301,1011.481861,32.389,30.419,34.779,2736.933078,2733.445078,1231.414673,1011.478571,74,734
378.1216266,378.1175511,378.1255561,118.772,112.183,126.452,8779.014507,8389.247477,1358.277588,378.119734,184,19
538.0006734,537.9952827,538.0046987,408.43,402.001,415.01,963.9338405,805.1094595,152.5293732,537.9975863,543,7
699.2841748,699.2744465,699.2909923,359.384,354.384,364.293,808.3866819,746.5566771,273.1847229,699.2865887,482,20
413.0990005,413.097143,413.1004447,94.184,76.965,109.063,102478.1197,102445.2575,6017.361816,413.0994834,150,6016
473.2291714,473.2223765,473.2345734,193.137,186.187,197.936,1629.474784,1440.085634,526.4125977,473.2345734,275,11
189.1325312,189.1305687,189.1329187,270.851,265.161,274.11,1873.818979,1868.124161,646.565979,189.1329187,373,632
428.0247278,428.0199666,428.0267067,248.233,242.423,253.172,1860.97934,1714.527818,428.4763489,428.0230514,344,11
320.0721931,320.069295,320.0735442,322.897,316.447,324.536,1124.108554,1039.660951,392.7442017,320.0717836,438,8
289.3184721,289.3169969,289.3228271,142.141,136.931,148.09,1720.140515,1711.556669,853.1658936,289.3195328,213,212
848.3903663,848.3845413,848.3935315,155.89,149.69,158.909,1639.366753,1579.166294,546.2052002,848.3915493,230,24
338.4198196,338.4192245,338.4204246,51.777,49.438,55.097,4642.016668,4637.166097,2299.651855,338.4200345,97,353
594.13164,594.1255551,594.133934,344.055,340.195,347.925,625.3329912,579.4423715,124.5356216,594.1314459,464,7
587.1135808,587.1117166,587.1184355,258.122,247.412,265.161,2931.682839,2839.083542,367.4821777,587.1119049,358,34
253.0264012,253.0251701,253.0277813,175.368,169.128,181.617,6534.54627,5980.430432,1034.977905,253.0267722,256,16
471.2358178,471.2332484,471.2378722,29.239,23.19,36.339,86149.16564,85805.99662,30727.75781,471.2360067,71,399
519.4075192,519.4071927,519.4081961,46.988,44.498,48.658,620.9302544,617.6022544,320.2124329,519.4073173,92,319
503.1212508,503.1157874,503.1281247,313.997,310.718,318.867,2093.543574,2087.024374,585.7562866,503.1197415,425,585
500.0455501,500.0436595,500.0473795,286.369,283.87,287.969,655.2496742,651.4097246,281.5440063,500.0467642,391,47
525.4400117,525.4342527,525.4408017,282.16,279.71,284.71,638.3966911,634.2300244,354.242157,525.4408017,386,353
475.2710109,475.2638999,475.2747081,33.169,20.936,43.668,53078.94539,52680.25764,20997.98047,475.2719109,73,191
1092.745557,1092.735844,1092.747471,336.186,333.526,339.405,3866.6659,3861.626757,1611.909058,1092.747471,454,1611
687.1979617,687.1946365,687.2000616,29.239,23.19,34.779,6519.804471,5305.153683,3204.685791,687.1989021,71,33
430.0864534,430.0820495,430.0915014,29.239,23.19,32.389,1480.792981,1374.703182,584.5091553,430.0852411,72,36
137.0585648,137.0578629,137.0602719,180.148,176.208,183.788,5848.341459,5841.519459,1520.501465,137.0583895,259,1520
620.2917279,620.288537,620.2937852,29.239,23.19,34.779,45104.76814,44906.16683,19110.95508,620.2921225,71,142
203.0447894,203.0439942,203.0455803,355.214,351.114,361.904,5760.506083,5709.849866,1412.656616,203.0449187,477,105
173.0951058,173.0944985,173.0961047,35.579,29.239,38.718,4612.452294,4570.378505,1944.473999,173.0949147,77,49
328.4528093,328.4507382,328.456958,31.559,28.289,33.949,8452.619701,8447.903034,6076.691406,328.4528459,73,6076
712.4222902,712.4154508,712.4261605,150.59,142.991,155.119,909.8750599,856.1868579,254.0089417,712.4261605,221,11
133.0425001,133.0420949,133.0426979,241.613,238.373,247.412,57694.86716,57646.92444,20400.5957,133.0426979,335,1143
887.4703624,887.4610849,887.4732168,33.169,30.419,35.579,16072.03021,16052.59787,7105.14502,887.4732168,75,342
228.119073,228.1175102,228.1195865,69.816,61.837,75.436,48936.30265,48333.2201,6184.830078,228.1191676,120,57
710.3892757,710.3846775,710.396394,75.436,67.326,83.485,6115.966195,5975.595112,791.6182861,710.3871848,129,33
449.367272,449.3653514,449.3704048,153.3,149.69,155.89,1459.481084,1454.166798,587.6514893,449.3675299,227,587
831.8369041,831.8320254,831.8444061,241.613,228.584,255.602,1702.789816,1586.528955,202.8173828,831.8371827,336,14
1142.813694,1142.796168,1142.823054,61.097,57.357,67.326,7058.346957,6869.065845,1653.643188,1142.823054,110,14
458.2724403,458.2700824,458.2747834,71.486,63.386,80.145,8132.900948,7132.05805,1168.56665,458.2737661,123,15
250.1265762,250.1257646,250.1269016,223.585,214.975,231.044,33592.7062,29236.1725,3181.501709,250.1267893,314,7
743.2511181,743.2485639,743.2599676,244.913,238.373,250.712,1068.678199,1019.336314,252.3673401,743.2487206,341,37
409.1729914,409.1690442,409.1739701,245.753,238.373,253.962,8987.239825,8653.534384,2642.781006,409.1739701,341,36
837.08312,837.0804122,837.0868006,35.579,33.949,37.908,2128.187296,2125.020096,1159.82666,837.0835382,78,1159
494.3434726,494.3381702,494.3462185,63.386,56.607,70.656,4664.51162,4159.421329,625.4042969,494.3420225,114,9
483.4049058,483.4004564,483.4082117,35.579,23.19,46.988,27668.2546,23212.0269,18255.83789,483.4050626,77,152
627.4318559,627.4292836,627.433935,137.791,132.361,144.61,6462.1993,6387.395221,1493.547241,627.431894,207,75
160.1316613,160.1305828,160.132519,270.851,263.611,275.71,395.3468081,376.1488687,45.47043991,160.130981,370,12
868.6283302,868.625412,868.6350621,31.559,29.239,37.099,21700.12314,21639.91378,10561.7373,868.627908,72,379
710.4641524,710.4606085,710.4661812,33.949,31.559,35.579,779.8251372,776.6091372,318.1976318,710.4661812,76,317
549.4829004,549.4814753,549.4895293,30.419,24,32.389,2583.999955,2532.74139,971.2866821,549.4814753,73,80
504.1000438,504.0972796,504.1050853,167.499,165.209,173.098,773.5728705,727.0528127,241.0853271,504.1005612,244,11
1009.14255,1009.136814,1009.143379,31.559,24,34.779,22371.44394,22364.25794,14576.12305,1009.142971,72,6945
853.8476082,853.841857,853.8522233,29.239,26.529,31.559,752.5993015,748.5753015,297.1524048,853.8464348,70,296
345.1546583,345.151593,345.1572121,246.583,243.243,249.883,1949.01827,1943.20827,509.0043335,345.151593,342,508
155.9955725,155.994929,155.9961267,271.661,265.971,277.28,4118.825667,4095.609623,1420.894775,155.9959381,373,294
435.780506,435.7776933,435.7845644,68.976,61.837,79.315,3316.128456,3143.516348,329.1982422,435.7819913,120,7
256.1425998,256.1414065,256.1433447,52.657,48.658,58.847,8725.476108,8421.341925,2176.675781,256.1433344,99,22
358.2922115,358.2911323,358.2942189,180.888,175.368,183.788,29465.73171,29457.31171,13507.78223,358.2918508,262,5902
339.3340018,339.3325391,339.3362491,155.119,152.38,156.64,630.2630674,626.8550674,325.5292969,339.3336055,227,325
640.0665753,640.0618555,640.0676889,29.239,24.819,32.389,1243.28453,1238.55328,601.1997681,640.0660169,72,600
837.6019665,837.5955674,837.6151423,142.141,136.151,146.34,1327.603206,1248.669289,394.4479065,837.602104,214,16
532.9472235,532.9447514,532.9498795,336.186,332.726,342.495,6819.288194,6811.147361,1927.202637,532.9467119,453,840
948.6195782,948.6109031,948.627191,135.381,133.111,142.141,1184.266032,1147.265113,361.6289673,948.6133249,203,19
120.0431882,120.0427208,120.043631,316.447,309.888,320.457,1843.559478,1644.417217,313.2680359,120.0434129,428,12
110.0589566,110.058574,110.0591891,52.657,46.988,58.847,9558.585525,9215.13879,2299.133789,110.0590203,98,68
255.9949296,255.9941222,255.996528,146.34,141.241,148.87,1180.559259,1173.777925,331.1399841,255.9954376,218,70
970.4668925,970.4654641,970.468814,243.243,238.373,249.052,4363.840485,4349.882673,946.8894043,970.4654641,337,166
294.0931254,294.0924427,294.0942075,489.414,475.775,503.626,18652.57379,15943.89944,1425.49231,294.0933653,645,9
601.3529056,601.3465008,601.3564628,195.646,188.807,201.156,1252.783944,1150.161765,367.6073303,601.3535503,280,10
1010.455937,1010.450268,1010.457948,371.903,367.953,379.323,4264.814069,4154.116727,762.5216675,1010.457948,499,31
1073.291227,1073.287587,1073.293587,382.662,380.162,385.162,535.5259482,531.3592815,271.0774536,1073.293587,511,270
262.1266706,262.1257761,262.1272662,222.764,214.235,231.044,20102.85295,19514.82507,1937.083618,262.1268892,313,28
632.4270416,632.4231606,632.4337584,179.408,173.818,180.888,378.9156665,361.1751761,147.3709717,632.4292802,258,16
680.433856,680.4325579,680.4353432,124.732,122.992,127.222,913.6108339,892.7362576,324.3955078,680.4353432,191,9
392.0998326,392.0972974,392.1021696,244.073,237.563,253.172,2597.741862,2361.680404,341.8647766,392.1002411,338,9
311.1941497,311.1913717,311.1969978,375.183,369.483,380.992,515.2950367,487.8936274,151.0423279,311.1913717,502,11
399.7497449,399.7459727,399.7506104,31.559,28.289,33.169,3074.409062,3070.505062,1306.645142,399.7504906,72,1306
580.9495137,580.9424993,580.9518641,282.16,280.48,284.71,421.7360668,418.3520668,217.8748322,580.9518641,386,64
229.1572428,229.1552538,229.1580932,148.09,141.241,156.64,2215.85555,2142.02647,238.6149445,229.157204,221,17
694.4448348,694.4387848,694.4486183,84.335,78.525,86.735,439.8763311,423.2675429,133.899292,694.4481624,139,13
542.7126621,542.7107696,542.7141293,110.633,107.543,115.362,1692.820046,1685.782946,436.0415955,542.7111811,173,89
484.8972612,484.8934893,484.9006248,46.168,40.308,49.438,2551.921076,2527.828615,683.3830566,484.894635,92,35
240.2307744,240.2295494,240.2335648,140.411,133.111,148.87,4464.534696,3992.526149,468.391449,240.229754,210,9
519.1803404,519.176876,519.1818061,41.988,33.169,46.988,2293.140801,2208.016372,338.531311,519.176876,86,8
216.9481628,216.9474233,216.9487245,147.21,136.931,157.399,64513.45615,63961.50283,5329.397949,216.94813,217,195
535.3801801,535.3787321,535.3823837,175.368,173.818,177.928,409.6571759,406.3691759,160.2766876,535.3823837,253,159
571.3220532,571.318865,571.3276384,31.559,21.68,38.718,19822.17406,19710.30677,12036.70508,571.3231503,72,259
914.5986393,914.5879527,914.6023081,53.507,50.177,55.847,1175.918897,1171.058897,374.8238525,914.5988348,102,374
710.8873746,710.8806779,710.8909939,336.186,333.526,339.405,2690.952723,2685.91358,1029.907959,710.8855512,453,1029
758.3741613,758.370707,758.3761668,154.22,149.69,156.64,4464.031669,4456.553565,2267.243652,758.3750363,227,310
112.0496668,112.0494363,112.0499399,309.888,304.088,317.257,22952.26371,19949.01591,4900.650879,112.0497102,421,25
331.3391147,331.3384534,331.3395714,58.107,51.777,64.197,1871886.806,1871073.795,371649.5,331.3389587,105,4400
345.1049717,345.1015806,345.107772,148.87,142.991,153.3,1028.077705,954.5172967,360.7501221,345.107772,222,9
558.3443774,558.3401938,558.3493811,62.597,58.847,65.747,4047.585713,3994.313096,1302.783936,558.3430931,112,30
169.0653587,169.0644874,169.0661001,272.481,265.161,278.09,2978.948071,2849.464807,744.0802002,169.0660952,375,35
273.0599984,273.0565934,273.0623165,67.326,62.597,71.486,897.1302128,832.6474167,171.0563202,273.0614575,120,7
380.331406,380.3307533,380.332328,161.949,160.389,167.499,1151.756684,1133.767803,508.0540771,380.3307533,237,31
308.0435671,308.042015,308.0449807,283.02,275.71,287.969,2648.973784,2549.560562,359.5498352,308.0440495,388,16
275.0947572,275.0933854,275.0973428,359.384,352.734,366.483,4814.227637,4327.78468,652.6677246,275.0936112,484,9
174.0544634,174.0537476,174.0549651,174.548,168.318,180.888,614615.7852,614210.301,145997.6563,174.0547159,253,3636
377.7441305,377.7424078,377.7465191,31.559,28.289,33.169,3863.761058,3859.857058,1728.60144,377.7424078,74,1728
389.0974419,389.0967314,389.0989879,312.367,309.888,313.997,929.9268904,926.1288386,424.1643372,389.097433,424,72
276.1078587,276.1061051,276.1091489,424.099,419.12,429.948,17642.9755,16609.36102,3905.375,276.1084548,562,25
282.0505055,282.0483156,282.0512907,29.239,20.936,37.908,2723.54692,2453.502427,1051.118652,282.0498922,71,30
398.1183429,398.1116328,398.121332,158.909,152.38,163.689,11466.88217,10840.0429,2678.537354,398.121332,234,22
307.1150389,307.1130966,307.1166863,31.559,29.239,35.579,10910.53142,10839.01663,6974.931641,307.1148702,72,104
161.6316546,161.6302713,161.6320261,340.965,337.805,347.125,12052.60169,12040.19216,3033.921387,161.6316447,459,602
212.0762337,212.073462,212.077071,167.499,161.129,172.338,2607.716663,2581.280117,719.1066284,212.0764078,244,51
268.117501,268.1158174,268.1184156,361.074,358.534,364.293,2963.931957,2850.458292,923.3496094,268.1181545,482,8
587.0791007,587.0771083,587.08411,137.791,134.631,142.991,1162.295455,1125.50912,332.9519958,587.0784349,208,21
465.0201572,465.0169814,465.0221458,208.645,203.676,212.765,940.1174084,922.6106133,282.5529175,465.0221295,294,36
680.4809127,680.4780556,680.4848383,73.906,57.357,82.685,7221.420033,7130.130862,945.0319824,680.4780556,128,35
445.2131607,445.2075622,445.2158976,247.412,240.803,253.962,1567.425381,1391.883908,315.7121887,445.2158888,344,7
790.5835182,790.5804218,790.587059,16.666,12.846,29.239,2007.219314,1990.279881,243.3096924,790.5834227,48,136
517.0796236,517.0770511,517.0832088,109.813,104.603,121.252,2603.462654,2482.985051,550.2572632,517.0774529,171,9
350.0948136,350.0936839,350.0953367,463.656,456.356,474.155,9372.693201,9131.827724,1140.729126,350.0944633,611,31
272.2393819,272.2371028,272.241197,140.411,136.931,147.21,1336.076878,1260.120662,248.8443146,272.2394599,212,12
259.2404319,259.2377113,259.2423517,50.927,45.338,57.357,641.308334,575.5600489,175.4865265,259.2411815,98,9
123.0432259,123.0427311,123.0438888,182.347,178.668,185.317,9447.937118,9442.026895,3448.311523,123.0428548,264,3447
307.0970312,307.0961892,307.0997835,284.71,282.16,287.969,1089.710001,1005.603178,325.9143372,307.0972708,389,8
863.6679849,863.6542257,863.6717932,35.579,33.949,37.908,1795.908455,1744.277725,1521.713867,863.6717932,78,18
376.7268137,376.7259525,376.7285517,53.507,51.777,55.847,423.3447613,420.0887613,172.860199,376.7261753,99,172
831.5680978,831.5618887,831.5792062,140.411,136.151,146.34,1521.28998,1436.621761,256.6194153,831.567445,210,7
129.1009006,129.1001343,129.1013344,39.488,36.339,46.168,3071.833391,2995.059862,649.4173584,129.1013026,83,32
713.6073441,713.6052483,713.6094796,140.411,137.791,146.34,808.1063758,802.9769758,263.9689331,713.6094796,211,210
466.1545982,466.1535687,466.1550951,110.633,107.543,112.973,1333.967862,1313.468712,413.3612366,466.154854,174,8
603.3472377,603.3424383,603.3507797,33.169,26.529,35.579,2957.636513,2896.33457,1238.424072,603.345086,75,34
781.5834689,781.5755037,781.5869178,112.183,109.063,115.362,637.255203,632.530953,248.0018921,781.5856247,176,103
345.0426543,345.0418634,345.0438359,98.694,93.434,100.174,1423.615415,1392.910308,462.2739258,345.0438359,157,12
710.3973313,710.3930555,710.402301,32.389,25.669,33.949,1862.375825,1818.267995,658.8156738,710.402301,75,13
373.2738062,373.2726461,373.2753426,98.694,93.434,101.654,1020.539091,1006.840384,391.5901184,373.2726461,157,18
320.1474055,320.1439034,320.1498855,36.339,33.949,41.988,4796.353677,4725.483587,1199.602905,320.1498855,79,27
800.4063182,800.4029887,800.4107073,77.735,66.497,84.335,3672.508467,3632.1986,485.0637207,800.4037671,129,51
116.0473743,116.0467197,116.0480605,177.068,174.548,180.148,1059.286615,1048.999434,411.2786865,116.0467197,256,31
244.0775928,244.0761446,244.077931,272.481,262.101,278.09,29603.33643,28200.281,4399.687012,244.0776832,374,30
407.0375001,407.0311095,407.0411055,226.924,223.585,232.684,1528.091865,1477.118511,519.359375,407.0374423,318,38
310.3081846,310.3064009,310.3120185,90.454,85.165,95.694,2567.38332,2430.334694,527.3970337,310.3083683,146,18
402.5873892,402.5856396,402.5901133,95.694,91.204,98.694,964.8503403,958.1093403,254.3144226,402.585706,157,253
705.0744556,705.0614461,705.0809232,112.183,108.273,119.592,1643.777701,1568.116838,293.6931152,705.0752506,175,12
228.1770082,228.1764149,228.1773512,79.315,73.136,85.985,242524.9388,242239.4902,40715.60938,228.1773512,134,852
121.0637267,121.0633189,121.0648999,35.579,28.289,41.988,8068.109307,7389.297109,1473.746094,121.0634759,78,216
1197.681912,1197.66812,1197.691704,29.239,23.19,32.389,1460.523883,1441.309399,528.7493286,1197.691704,72,35
243.0856527,243.0848467,243.087161,42.828,37.908,56.607,7880.532679,7686.045717,780.8259277,243.08592,88,14
651.2294623,651.2232581,651.2327077,133.111,119.592,146.34,2013.741003,1885.897083,347.8045044,651.230823,204,13
193.9683388,193.9674989,193.9694371,51.777,49.438,55.097,940.7144348,933.3657249,319.6205444,193.9685251,97,69
591.0876255,591.0830435,591.0929222,112.183,109.063,117.893,1182.434696,1158.876478,373.5024414,591.0877236,177,20
333.9837438,333.9798798,333.9863197,336.186,333.526,340.965,1700.330602,1684.282179,536.5013428,333.9822193,452,65
649.4440645,649.4380453,649.4471871,336.186,330.276,343.285,1245.497582,894.5302524,207.6459961,649.4434952,452,7
798.4972523,798.4922755,798.5008591,206.995,198.686,213.505,937.816268,873.4171974,132.2764893,798.5008591,292,10
209.1161014,209.1153594,209.1169864,28.289,20.297,37.908,4174.50046,3665.473078,1699.622192,209.1159727,71,38
376.4350654,376.4341091,376.4368946,30.419,28.289,33.169,1929.533146,1925.629146,1379.351563,376.4347107,72,1378
273.1130685,273.112371,273.1151413,415.84,413.36,418.299,3536.235725,3442.158214,1061.712158,273.112371,551,8
274.1209742,274.1192871,274.1232853,73.906,68.126,76.196,2559.647614,2460.409296,683.4688721,274.1195551,124,9
552.5035279,552.5018626,552.50446,31.559,24.819,37.099,25721.71748,24960.4932,10549.76953,552.5044253,73,30
508.86626,508.8629738,508.8678235,198.686,193.976,204.506,1972.133555,1961.603555,415.1035461,508.8659824,281,414
479.8086253,479.8067598,479.809973,498.563,490.214,503.626,751.5294349,743.3332126,286.7044373,479.809973,655,197
