mz,rt,intensity,rt1,rt2
63.997579752530605,56.607,56672.73828125,39.48799999998,56.607
63.99763388147294,57.357,56821.4921875,56.607,74.66599999998
74.0711959505198,253.17199999998,70854.34375,249.88300000002002,270.85099999998005
79.021296482676,57.357,508287.96875,39.48799999998,74.66599999998
87.04380436026138,213.50500000002,60113.51171875,194.80600000002,231.04399999998
91.0536697208967,34.778999999999996,57639.73046875,18.274999999979997,52.65700000002
96.04434045177453,68.976,117319.796875,50.926999999980005,86.73499999997999
104.10675887008098,261.36100000002,224091.1875,242.42299999998,278.91
106.0859764711118,293.89900000002,55034.66015625,275.71000000002,311.547
112.05017334412753,187.92700000002,146929.234375,183.78799999998,193.97599999998
112.05041400339118,198.68599999998,87773.5390625,193.97599999998,206.17600000002
114.06579536164338,164.45899999998,263355.4375,145.45999999998,180.14800000002
114.09111124826974,319.65700000002,53748.71875,300.78799999998,337.80499999998
118.08615495383197,263.61100000002,233241.984375,244.91299999998,281.29999999998
119.08518894908825,34.778999999999996,568945.4375,18.274999999979997,52.65700000002
120.08034838233364,170.84800000002,261344.53125,152.38000000001998,187.92700000002
120.0878684114067,34.778999999999996,55648.578125,26.529,46.98799999998
121.05050545675317,106.803,200636.890625,89.71399999997999,124.73200000002
121.06454961606698,219.48499999998,108677.4296875,201.15599999999998,237.56299999998
122.07087539859347,343.28500000002003,64374.97265625,324.53599999998,361.074
123.05508900068423,62.59699999998,267637.0,44.497999999979996,80.145
124.0389591337579,205.34599999998,71628.875,203.67600000000002,222.76399999998
126.0657020491357,183.78799999998,135520.0625,177.06799999998,201.98599999998
128.9527144787249,336.18600000000004,57349.26953125,317.25700000001996,353.55400000002004
130.0645189725266,48.65800000002,59244.21484375,29.239000000020003,65.74699999998
130.08542447001298,297.73900000002004,50086.140625,295.48900000002,315.62699999999995
131.1176720264568,319.65700000002,86641.09375,300.78799999998,337.80499999998
132.0802870446637,74.66599999998,54764.51953125,56.607,91.94500000002
132.08047596098447,194.80600000002,110866.8046875,176.208,212.76499999998
133.10050723890242,33.16900000002,122594.28125,17.634,50.926999999980005
135.07957192192478,34.778999999999996,80184.96875,18.274999999979997,52.65700000002
136.06104948783744,96.444,69484.6796875,76.965,103.863
136.0612977396051,112.97299999998,116823.9296875,103.863,130.87099999998
136.0613159507045,141.24100000002,147912.515625,136.15099999998,149.68999999998002
136.06130902436425,155.89000000002,429926.4375,149.68999999998002,173.09800000002002
137.04572562074978,161.12899999998,175106.171875,158.90899999998,178.66799999999998
137.0704310566574,288.699,474295.53125,283.87000000002,305.72800000002
138.0567431801776,275.71000000002,364574.09375,257.292,284.71000000002
139.05021438664534,278.91,70314.015625,260.571,295.48900000002
142.09728502810546,332.72599999998005,56926.109375,313.99699999998,350.31499999998
144.080451747666,74.66599999998,82026.75,56.607,91.94500000002
144.0805273007766,196.45600000002,445682.03125,192.27700000002,214.23499999998
146.0922465635484,344.83500000000004,257160.734375,330.276,361.074
146.1172905301067,365.02399999998,490052.0625,352.734,382.662
146.11734359568945,214.23499999998,342213.40625,195.64600000002,231.86399999999998
147.09139340742584,35.57899999998,760841.5,30.418999999980002,46.16800000002
147.09277017632368,48.65800000002,1519090.375,46.16800000002,65.74699999998
148.09395857642005,35.57899999998,77842.3984375,34.778999999999996,46.16800000002
