PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
74,173,0.3223333,0.4873167,0.57965,459.199,1066.853516,7474.266113,9.244365
75,173,0.1714,0.4873167,0.60565,462.5377,2916.697266,13488.27246,373.834
76,173,0.3329667,0.4873167,0.6183167,471.2357,16435.80859,94570.42188,123.1994
77,173,0.3865,0.4873167,0.6318,508.0762,1075.271729,5156.279297,10.44059
78,173,0.1981,0.4873167,0.6183167,521.9889,9092.074219,43292.14844,106.6775
79,173,0.2317833,0.4873167,0.6998,522.6564,1766.562744,8250.458008,343.4156
80,173,0.3223333,0.4873167,0.6581333,527.2985,18156.93945,101350.8828,188.6746
81,173,0.1554,0.4873167,0.6859667,528.3008,6327.361816,38303.57813,25.77353
82,173,0.1821,0.4873167,0.7278,533.0812,1484.106323,6792.085938,46.15298
83,173,0.3223333,0.4873167,0.6318,543.2915,6782.01123,39002.64453,74.97462
84,173,0.1076167,0.4873167,0.6998,544.2958,2178.83252,17317.92188,25.33153
85,173,0.16075,0.4873167,0.6183167,560.8996,2879.025146,13764.05664,107.6751
86,173,0.2265,0.4873167,0.6453,563.2255,16559.24023,85211.47656,354.2049
87,173,0.2671667,0.4873167,0.6183167,564.2288,5681.25293,30016.82422,92.05998
88,173,0.2371,0.4873167,0.6183167,569.6674,1796.306885,8240.773438,135.9072
89,173,0.17675,0.4873167,0.6183167,570.0032,2150.29541,10198.83496,100.187
90,173,0.41365,0.4873167,0.5658166,575.4189,1541.719238,8131.333496,47.67288
91,173,0.4278167,0.4873167,0.57965,610.1837,7923.707031,40479.92578,73.66891
92,173,0.3382833,0.4873167,0.57965,611.1807,4338.834473,27034.69922,42.96624
93,173,0.3329667,0.4873167,0.57965,612.1814,3635.577881,22100.86719,56.90425
94,173,0.2992667,0.4873167,0.57965,613.1801,1505.312866,9714.568359,18.35957
95,173,0.2087667,0.4873167,0.6183167,616.047,8637.154297,40285.51172,177.959
96,173,0.1447333,0.4873167,0.6718,616.3794,9528.798828,47604.64844,307.58
97,173,0.2034167,0.4873167,0.6718,616.7156,4618.554688,21533.35156,226.511
98,173,0.1821,0.4873167,0.57965,617.0508,2114.536621,9837.040039,34.11879
99,173,0.1129,0.4873167,0.5658166,617.3768,1476.152588,7025.319824,25.74179
100,173,0.2992667,0.4873167,0.6183167,619.2883,26050.70313,129093.0859,508.4992
101,173,0.3099167,0.4873167,0.6453,620.2921,9912.491211,51014.89063,183.4701
102,173,0.41365,0.4873167,0.5929833,621.2944,2956.890137,14420.94434,52.45336
103,173,0.2265,0.4873167,0.7278,630.7222,2343.90918,10961.80078,197.8029
104,173,0.1554,0.4873167,0.6183167,631.0571,2408.823975,11233.72656,43.97847
105,173,0.41365,0.4873167,0.5658166,647.4529,5572.416504,26578.06445,104.2152
106,173,0.41365,0.4873167,0.5528167,648.4556,2406.415283,11627.18555,188.5778
107,173,0.2671667,0.4873167,0.57965,652.4806,1886.277466,8983.984375,116.122
108,173,0.2671667,0.4873167,0.6718,652.9821,1326.011475,6146.806152,54.62245
109,173,0.4278167,0.4873167,0.6859667,655.3136,4977.334473,30148.3125,94.72067
110,173,0.41365,0.4873167,0.6581333,664.4615,393461.75,1858670.5,11116.37
111,173,0.1024,0.4873167,0.6183167,673.2824,1179.770508,7204.691895,16.37928
112,173,0.1024,0.4873167,0.8109667,675.3525,42479.08594,213250.2813,1384.372
113,173,0.1129,0.4873167,0.6183167,676.3533,17116.79297,83588.01563,717.2353
114,173,0.2087667,0.4873167,0.60565,677.1,1592.957642,7350.251465,36.77859
115,173,0.1024,0.4873167,0.6859667,677.3575,4745.82959,24665.15234,80.13831
116,173,0.2671667,0.4873167,0.7416334,677.7684,1160.103638,5454.569824,73.55492
117,173,0.41365,0.4873167,0.57965,684.2007,5477.01416,26422.73633,54.02671
118,173,0.3276,0.4873167,0.57965,685.2008,3535.475098,20496.88477,32.73071
119,173,0.41365,0.4873167,0.5929833,686.1985,3072.741211,15632.30957,38.6038
